,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220928,2022,09,28,5,Sein Lee,"몇년전에도 식이시작하려고했을때 가장많이 추천받았던 앱이었는데, 지금도 최고의 앱인듯.. 5일정도 사용해봤는데 넘 좋네요. 사람들이 원하는걸 정말 많이 반영한듯.. 4달정도 제대로 사용후 추가후기 씁니다. 내 다욧의 최고도우미!!!! 이 어플 사용해서 다욧하고있는 1인입니다. 천천히 건강하게 한달에 최소 1키로씩 꼬박꼬박 감량중인데 이 앱 기여도가 90퍼정도일듯.. 넘나 잘 사용중입니다. 개발자님 유지하시는 분들 모두모두 복받으십쇼"
1,2,20220627,2022,06,27,5,sunny,입력이 편해서 좋아요 리포트는 보여지는 주기가 일주일 단위로 고정이라 누를 때마다 바꿔줘야 해서 좀 귀찮아요 사용자가 마지막으로 본 날짜 구분으로 설정하는 것도 좋을 것 같아요 음식 찾기에서 검색어 재입력할 때 이전 검색어 목록 띄워주면 좋겠어요
2,3,20200812,2020,08,12,5,슈슈,"음식물 바코드를 찍으면 알아서 계산해주고 없는 경우엔 본인이 추가해서 적을 수 있어서 편리해요. 탄단지 구성이나 먹은 칼로리, 소비한 칼로리 보여주는 것도 좋아요. 다만 음식이 무조건 1인분 이상부터 기입 가능하던데 0.5인분도 선택 가능하게 해주시면 더 편리할것 같아요. 일일히 모든 음식과 반찬을 따로 반인분씩 기록하기에는 번거로운 것 같습니다."
3,4,20211120,2021,11,20,1,호학애사,"핸드폰 2대+태블릿 1대에 연동해서 쓰는데, 오류가 자주 뜸. 며칠 전 기록이 제일 먼저 보이거나(오늘 기준이 아님). 다른 곳에서 기록한 게 연동이 잘 안됨. 먼저 기록한 사람이 잘못 기록했든 아니면 영양정보가 변했건 등록된 것을 아예 변경하고 싶은데 계속 새롭게 등록하는 수밖에 없음. 편집 기능으로 바꿀 수 있지만 그때마다 틀린 걸 고치거나 같은 제품 중에서 맞는 것을 기억하든 기록하든 한 후 입력해야 하는 번거로움이 있음."
4,5,20210504,2021,05,04,5,둉됴니,쓰기 편하고 칼로리를 식사대별로 나눌수 있으니 정말 좋습니다. 다만 기존에 있는 제품들이 없는 경우가 있어서 좀더 추가됐으면 좋겠어요. 운동도 1시간으로 정해진 운동의 경우 20분만 적으려고하면 적용이 안되는 점이 조금 아쉽습니다. 그 외에 아침점심저녁 외에 4식이나 5식으로 식사를 나눠서 하는 사람들을 위해 식사 추가란이 추가됐으면 좋겠습니다. 앱 자체는 정말 유용하고 너무 잘쓰고 있습니다. 탄단지 비율도 알려주셔서 제가 대충 계산하고 먹었을때보다 보다 꼼꼼 하고 정확하게 알 수 있어서 너무 좋네요
5,6,20181207,2018,12,07,5,Google 사용자,진짜 너무 다 좋고 잘 이용하는 사용자 입니다. 최고예요ㅠㅠㅠ 그치만 여기서 한가지만 추가되었으면 좋겠다 하는 부분이 있습니다. 피로트에서 이번쥬 기록을 볼 때 막대그래프 위에 칼로리도 그 날 먹은 칼로리도 표시 되었으면 좋겠어요! 이거 하나가 너무 간절히 필요합니다:) 이런 어플 만들어 주셔서 감사하고 수고하세요.
6,7,20190116,2019,01,16,5,Google 사용자,칼로리 추적에 너무 좋습니다. 앱도 사용하기 편하고 인터페이스도 깔끔하고 좋습니다. 추가로 리포트 탭에서 일 칼로리가 막대그래프로 표시되는데 선택적으로라도 칼로리를 숫자로 표시해주시면 더 편할꺼 같습니다. 감사합니다.
7,8,20210117,2021,01,17,2,rowoony,"잘 쓰고 있는데, 자잘한 오류가 넘 많아요. 고객센터로 메일을 보내도 딱히 회신도 안오고. 최근에 제일 불편한 오류 공유할게요. 다이어리 >+ 버튼 눌러 식단 추가 > 음식 추가, 사진도 추가 --> 음식은 추가되고, 사진과 쓴 댓글은 날아감.. 이 오류가 5번을 이렇게 하면 2-3번은 날아가요. 그래도 다른 기능들이 좋아 참고 쓰고는 있는데~ 앱 쓸때마다 너무 짜증나고 지치네요ㅜㅠ 수정 좀 부탁드려요. 제 폰은 S10 5G 모델입니다."
8,9,20191101,2019,11,01,5,Google 사용자,"다이어트 중이라 식단과 칼로리 관리를 위해 내가 먹는 음식의 영양성분을 계속 파악할 필요가 있는데, 이 앱 하나만으로 그게 돼서 많은 도움이 되고 있습니다 다만, 체중을 입력하고 싶은데 신장을 입력하는 부분이 오류가 떠서 하지 못하고 있습니다. 수정된다면 좋겠네요."
9,10,20200330,2020,03,30,4,Google 사용자,되게 기능도 많고 좋은데 모바일 버전이 매우 빈약하네요...프로필 사진 변경부터 네비게이션하거나 그룹생성관리/활동 등 모바일앱에서 안되는게 너무 많은듯. 사용자 편의성을 위해 모바일앱 개발을 좀 더 해주시면 좋겠습니다.
10,11,20190923,2019,09,23,4,Google 사용자,"식단 체중 운동을 종합적으로 기입할 수 있어요. 다른 식단어플 써봤는데 g당 칼로리는 입력이 안되어서 불편했는데 여긴 자동계산 되고 단위도 다양해서(껍질, 뼈 포함 유무 등) 좋네요. 아쉬운건 인터페이스가 뭔가 지저분한 느낌이 있어요."
11,12,20210802,2021,08,02,4,김미경,1년가까이 편하게 아주 잘 사용하고 있었어요 그런데 업데이트 이후부터 입력이꼬이네요ㅜㅜ 체중입력란에 간단한 그날의 메모도 같이 했었는데 수정도 안되고. 날짜에 맞게 수정입력을 해도 그내용이 오늘(당일)날짜에 입력이되고 날짜도 꼬이고 수정도 안되요ㅜㅜ 몇일째 반복적으로 그런현상이 일어나요 오늘은 8/2자 입력 자체가 안되요 입력하고나면 8/1로 입력이 되요 저는 매일의 기록을 입력하기에 해결방법이 필요합니다 빠는 해결방법 부탁드려요
12,13,20200131,2020,01,31,5,Google 사용자,다이어트하는데 매번 도움을 저엉말 믾이받아요 하루 칼로리계산해놓고 체중계 확인하고 데이터로 영양소 비율까지 맞춤으로 확인할 수 있으니까요. 타 유료앱보다 훨씬 데이터가 많은 것 같다 느끼기도합니다. 다만 오류가 없잖긴해요. 삭제한 식단이 안 없어지고 남아있어 재삭제하려니 앱이 종료된다던가 하는 ㅎㅎㅠ
13,14,20200817,2020,08,17,5,배유진,정말 필요한 기능만 깔끔하게 사용할 수 있어서 좋다!! 사람들 응원해 주는 것도 좋고 결재 없이 삼성헬스랑 연동되서 넘 편해요:D 다이어트 초보자가 가벼운 마음으로 사용할 수 있음. 음식도 엄청 많이 등록되어있어서 헐 이것도 있네? 싶은 것들이 다 있다.. 왜 이 어플이 이렇게 밑에 있지ㅠㅠㅠ 사진 등록하면 칼로리 기입할 관련 음식 찾아주는것도 편하고 좋음!!
14,15,20191030,2019,10,30,3,Google 사용자,명칭만 조금씩 다르게 중복되는 음식이 많습니다. 영양성분이 잘못 입력된 것들도 많고요. 게다가 신규입력해도 제 폰에서만 보이네요;; 또 키워드로 검색도 잘 안되고요..개인적으로 모든 정보에 대한 수정 요청기능도 있었으면 합니다.
15,16,20190217,2019,02,17,4,Google 사용자,"목표 칼로리보다 많이 먹었을 경우 남은 칼로리를 +로 표시하는게 더 이해가 편할듯. 지금은 남은 칼로리가 -로 표시되어 덜먹었다고 오해가능. 날마다 체중이 변하는데, 목표 칼로리도 그에 따라 자동계산해 주면 좋을듯."
16,17,20191019,2019,10,19,5,Google 사용자,19.10.19. 추가 리뷰 - 음식 섭취량 숫자 제한이 없어지면서 다시 완벽함 앱이 됐다. 최고임! 이전 리뷰 - 다 좋고 완벽했는데 업데이트하면서 불편해졌다. 특히 다이어리에서 먹은 음식을 기록할 때 섭취량에 숫자를 세자리까지만 쓰게 바뀐 것이 정말 불편하다. 하지만 그럼에도 불구하고 이 앱보다 나은 다이어트 앱이 없어서 계속 쓴다. 그리고 개발자에게 문의해보니 그들도 이 문제를 알고있고 고치기 위해 노력 중이라고 하니 기다리면 다시 완벽한 앱이 될 거라고 기대한다.
17,18,20200612,2020,06,12,5,정소라,"식단 유지하는데에 도움이 됩니다. 수치가 눈으로 보니 식단 조절도 가능하고, 좀 더 신경쓰면서 오래 식단할 수 있어요. 다만 제가 추가한 음식정보(칼로리 등)를 제 지인은 검색이 안된다고 하네요. 공유가 안되는건가요? 그렇다면 너무 귀찮은 작업 같아요... 원래 공유가 되는건데 안된거면 어떻게 해야 되는지 알려주심 감사하겠습니다."
18,19,20220426,2022,04,26,5,이타치,앱을 처음 쓰는 사람들을 위한 앱 가이드가 없어서 앱을 처음 쓰는 사람들에게 사용이 어렵거나 불편 할 수 있을 것 같다.  음식을 더 먹으라는 게 있으면 훨씬 더 좋은 식단을 짜기에 좋을 것 같다. 그래도 다양한 종류의 음식이 있고 브랜드도 다양해서 내 식단을 그대로 옮기기 에는 좋을 것 같다. 내가 가장 많이 먹는 영양소와  적게 먹는 영양소가 나타나 있어서 내 식단을 구성하기에 좋을 것 같다. 내가 운동한 양에 따라 칼로리도 줄어들어서 오늘 총 얻은 칼로리의 양을 비교적 정확하게 알 수 있어서 좋았다.
19,20,20181102,2018,11,02,5,Google 사용자,편하고 직관적인 식단기록 어플중에 최고입니다! (7개를 실험해본 결과) 광고도 없고 과금 유도도 없는데 어떻게 이렇죠?!?! 딱하나 아쉬운건 운동량이 일일 목표 칼로리에 반영이 안됩니다. 하지만 켈린더에서는 확인 할 수 있어요!
