,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20221028,2022,10,28,3,hally,"업데이트후 체지방 분석 부분에서 그래프 측정범위설정이 갑자기 넓게 되는 바람에 변화량값이 거의 직선처럼 그래프가 표시되어 변화량 확인이 안 됩니다. 무슨 업데이트가 더 나쁜 방향으로 되나요? 아래 비슷핫 질문이 있는데, 작은변화도 크게표시되어 바꿨다는 이상한 답변만 있네요. 그렇다면 변화량 스케일을 사용자가 바꾸게 해주는것이 더 합리적이라 보여집니다. 워치 연동해서 매일 변화량을 그래프로 보는데 체중, 체질량 등 모든 수치가 다 직선으로 보이니 합리적으로 보완바랍니다."
1,2,20221101,2022,11,01,3,이상기,"워치3, A90 사용중이고, 불루투스로 음악을 들으면서 자전거나 걷기 운동을합니다. 이전에는 운동량 기록을 음악을 듣고 있는중이라도 블루투스 통해서 들을수 있었는데 지금은 워치를 통해서만 나옵니다. 이 부분이 변경된건가요? 이전처럼 블루투스 통해서 운동정보 듣기는 불가능하나요?"
2,3,20221026,2022,10,26,1,Youngho Kwak,"<2022.10.27> 혈압 기록을 연간 기록으로 보려고 하면, 혈압 기록의 시작 (아주 오래전 데이터 기록) 과 혈압 기록의 가장 최근 데이터, 이렇게 2 포인트만 그래프로 나옵니다. 메일 드렸는데, 스크린 샷을 보셔야 이해한다고 하셔서 보냈더니 용량 초과로 메일이 리턴되더군요. 7일, 31일 그래프는 모두 잘 나오는데 '12개월' 그래프만 이상있습니다. <2021.4.14> 자꾸 잘 쓰던 기능을 없애고, 겉 멋만 들어있는 앱 4.6업데이트 되었는데 체중 평균을 관리될수 있도록 해달라고 했는데, 진짜 거지같이 해놨음. 7일평균치 끼리 변화하는 추세를 보는 기능이 있었는데, 이전 업데이트에서 삭제했고, 이번에 평균 볼수는 있으나 평균끼리의 추세를 알 수는 여전히 없음. 그냥 이전이랑 같은 기능으로 되돌리는게 그렇게 어려운 일인지? 제작자가 이 앱을 써보기는 하는건지? 초기의 잘 만든 앱을 스스로 망가뜨리고 있음. 형식적인 추후 업데이트시 반영하겠습니다 라는 답변만 달릴 것임"
3,4,20221101,2022,11,01,5,신악착AJxSHIN,"아래쪽 리뷰 남기신 갤럭시 울트라 사용자님과 동일한 증상입니다 기존 워치4와 블루투스로 잘 연결해서 사용했는데 얼마전 업데이트 이후 1km 마다 걸음 수, 거리, 심박수 등 알려주던 정보가 진동으로 바뀌었습니다 설정에서 음성 알림 등 설정에 이상 없습니다 블루투스도 기존과 동일하게 폰과 워치4 둘다 연결되어있습니다 최근 업데이트후 다시 잘 됩니다"
4,5,20221108,2022,11,08,1,MinJeong Kwak,"워치 4 사용자인데, 실제로 운동할때 만큼 걸음수를 측정되지 않아 측정의 재미가 떨어지네요. 측정하다 확인하면 걸음수 또는 칼로리 시간이 줄어있네요. 합계가 원활하지 않다는 생각이 듭니다. 그 이유로는 실제 운동한것보다 합계치가 더 적게 집계되는 사례가 생기네요. 아마도 이제 곧 시계는 풀듯합니다."
5,6,20221020,2022,10,20,4,이수미,아주 좋아욤. 수면 기능 땜에 쓰는 건데 대략적으로 맞아서 넘 신기하네요. 정확도는 좀 떨어지긴 해요. 안잤는데 잤다고 표시될 때가 더러 있어요. 중간에 자다 깬 것도 표시가 안되구요.. 그거야 기술적인 문제니까 그러려니 해도.. 수면 그래프를 확대할 수 있는 기능과 간단한 메모 기능이 필요해요. 제가 약먹고 잔 날과 안 먹고 잔 날을 표시하고 싶은데 어딜봐도 메모를 넣을 수 있는 곳이 없네요.. 이건 제가 못찾는 거일 수도 있어요ㅠㅜ 암튼 있다면 좀 찾기 쉽게 해주세요. 메모 좀 넣을 수 있게..
6,7,20221018,2022,10,18,3,Jieun Lee,잘 사용하고 있습니다. 사용 시 불편했던 점 제안 드립니다. 1. 식사기록 시 미래의 시간도 입력할 수 있게 해주시면 좋겠습니다. (미리 식단 계획) 2. 나만의 음식 입력 시 1인분량만이 아닌 g도 입력하여 추후 식사입력시 g수만 입력했을 때 영양성분이 자동계산될 수 있으면 좋겠습니다. 앞으로도 잘 사용하겠습니다.
7,8,20220919,2022,09,19,4,장은숙,사이클 시작하면서 앱을 잘 사용하고 있습니다. 사용하기쉽고 이동하거나 멈출때 자동으로 시작 멈춤 기능도 좋고 음성기능이 있어서 주행중에도 거리나 속도를 알 수 있어서 좋습니다. 근데 가끔 운동종류를 잘못선택해서 변경하고 싶은데 어떻게 변경하는지 모르겠습니다. 아니면 변경이 안되는 건가요?
8,9,20221101,2022,11,01,2,윤채아,"워치5 사용중입니다. 운동할때는 워치만 착용하고, 운동 시작하기 전에는 걷기 타이머를 켜고 합니다. 걷기운동 하는 경로가 항상 똑같아 걸음수나 칼로리 등등 항상 비슷하게 나왔었는데 최근에는 걸음수가 이상하게 측정됩니다. 거리는 얼추 비슷하나 걸음수가 기존보다 많게는 2천보 이상 기록 차이가 납니다. 그러다보니 칼로리도 차이가 나고 운동 후 기록보는 재미도 있었는데 이전 기록들과 너무 차이가 나니 불편합니다."
9,10,20221013,2022,10,13,1,Kim yum,블루투스에 타인이 접근하여 켜고 끄는 경우가 발생했는데 이유가 갤럭시 기능 중 주변 기기 접근 허용 권한 때문인 듯 합니다. 자다가 일어났는데 집안의 스피커가 켜져있고 블루투스 연결식 조명이 모두 켜져있었습니다. 해킹에 매우 취약하여 당황스러운 상황인데 이같은 경우가 생명과 밀접한 연관이 있는 기기에서 일어났다면 어땠을지 걱정됩니다.
