,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220916,2022,09,16,5,마마,다 좋고 잘 쓰고있는데 갑자기 식단 음식 추가하기 검색을 하니 원래 있던 항목들이 없어졌습니다. 요즘 그릭요거트나 마이노멀 알룰로스 등등 어제까지만 해도 있던 게 없어졌네요. 그리고 탄수화물이 측정이 안 될 때가 있기도 하고요... 오류인가요? 빨리 수정해주시면 좋겠습니다.
1,2,20220917,2022,09,17,5,Nayoung Joo,"잘쓰고 있습니다. 새로 생긴 음식 검색하기 기능 좋아요. 다만 아직 검색할 수 있는 음식이 한정적이라 음식 추가를 많이하는데, 내가 작성한 추가한 음식 리스트의 스크롤이 잘려서 전에 입력한 음식을 바로 쓸수 없습니다. 음식리스트 스크롤이 잘리지 않도록 다음 업데이트 시 반영 부탁드립니다."
2,3,20220904,2022,09,04,5,정바울,"평벙한 일지 작성 어플. 단, 치명적인 오류가 몇 개 있음 운동일지 옵션칸 수정 바로 밑에 삭제가 있음 한 세트 끝나고 숨 헐떡거리면서 글 수정하려다 보면 실수로 수정 바로 밑 삭제를 누르는 경우가 있는데 더 심각한 건 다시 한 번 진짜로 삭제 시킬 건지 상기시킬 문구조차 안뜨고 바로 삭제됨. 집에서 부터 열심히 일지 작성해가서 운동중에도 열심히 기록하다가 세트 끝나고 너무 힘들어서 손가락 살짝 아래로 가는 순간 모든 게 삭제됨. 또 자동저장 기능이 없어서 열심히 일지 작성 후에 저장 안누르고 집에 갔다가 어플사용기록 삭제하는 순간 또 기록이 날라감. 운동중에 이 어플이랑 시계말고는 휴대폰 사용을 안하는데 운동중에 기록이 삭제돼서 너무너무너무너무너무너무 화나서 리뷰 작성함. 제발 개발자분 이 부분들 고쳐주시길 바랍니다. 개선되면 리뷰 바로 삭제할게요. +추가로 운동일지 더블클릭하면 수정되는 화면으로 넘어가면 훨씬 편할거 같네요 삭제버튼 누를 걱정도 없고 ++ 업데이트 감사합니다"
3,4,20220913,2022,09,13,4,김도희,"간편하게 사진만으로도 남길수 있어서 좋아요~ 기록 구성이 심플해서 좋습니당 개인적으로 배변활동 기록, 오늘 하루 기분이나 목표 클리어 상태 기록, 그리고 좀 더 운동기록이 구체적으로 구성되었으면 좋겠어요~"
4,5,20220904,2022,09,04,2,최현정,아이폰 유저들이랑 그룹으로 매일 식단체크 운동중입니다. 유난히 안드로이드가 기능이 빠지거나 버그가 많네요.. 버그배쉬 메일 보냈으니 체크해주세요.. 그룹내 걸음수 연동 안되는거랑(앱네 개인페이지에선연동됨) 그룹내 영양정보 0칼로리로 표기되는거 수정 부탁합니다. 연동안되서 체크 껏다켰는데 여태기록된 걸음수 다 날라가서 허무하네요..
5,6,20220813,2022,08,13,4,서나,"너무 잘 쓰고 있는데 그룹 채팅방에서 메시지가 보내지지 않습니다 ㅠㅠ 메시지를 보내면 옆에 빨간 세모에 느낌표가 들어있는 아이콘이 뜨고, 메시지를 꾹 눌러서 Retry를 누르면 Message can't be sent라는 문구가 뜹니다. 기종은 갤럭시 S10이고 방금 어플 업데이트도 해보고 그룹을 나갔다 들어오기도 해봤는데 해결이 안 되네요.. 그룹을 여러개 참여중인데 채팅이 되는 방도 있고 안 되는 방도 있습니다."
6,7,20220803,2022,08,03,5,박유진,정말 좋은 어플입니당👍👍 그룹에 속해 다른 분들과 소통하며 다이어트 하니 확실히 더 재미있고 동기부여 되는 기분이에요! 서바이벌 기능도 어렵지않은 미션이라 넘 좋아요😊 삼성 헬스 동기화가 빨리 복구된다면 더욱 만족스러울것 같아요! 조금 더 사용해보고 괜찮으면 프로 구매 하려구용 좋은 어플 감사해요~
7,8,20220617,2022,06,17,5,jeongwon l.,"밀리그램 잘 쓰고있습니다! 몇가지 개선사항이 있어 리뷰 남깁니다! 1.삼성헬스 연동되었을 때도 악세서리(갤럭시 핏2)로 측정되는건 밀리그램에 자동으로 걸음수가 연동되지 않았습니다ㅠㅜ 핸드폰 움직임만 감지했어요 2.그룹원이 식단,물,운동 정보를 올릴때 알림을 다 받고싶지 않아요. 댓글만 알림설정을 할수있으면 좋겠습니다! 감사합니다😄"
8,9,20220708,2022,07,08,4,Seo Yul Lee,"잘 쓰고 있어요❗하지만 몇가지 개선사항이 있어 리뷰 남겨요 1 ) 물을 마시거나 식단을 적거나 운동 기록을 남길 때, 모든 그룹원들이 알림을 받는게 불편해요 알림을 받고 싶은 그룹원만 알림을 받게 설정에 알림 여부를 넣었으면 좋겠어요 2 ) 신체 기록을 남길 때 메모를 쓰고 저장한 뒤 메모를 다시 지우면 메모가 있던 자리에 공백이 남아 거슬려요 메모를 쓴 뒤 지우면 메모를 쓰기 전의 칸으로 되돌아 갔으면 좋겠어요 3 ) 자잘한 버그들이 너무 많아요 예를 들어 신체 기록을 수정할 때 분명 버튼을 한 번만 눌러도 여러번 눌리는 걸로 인식이 되는지 수정을 하고 저장을 한 뒤 취소 버튼을 세 네번은 누르거나 뒤로가기를 세 네번 눌러야 해요 이 점들만 고쳐주셔도 누구든 오랫동안 쓸 수 있을 것 같아요 감사해요❗( + 제작자 분들과 소통이 원활하게 이루어지는 카톡방이 있어 너무 좋아요❗ )"
9,10,20220623,2022,06,23,3,Hanbyeol Lee,개선 사항 및 아이디어를 건의드려요! 식단 기록을 사진이나 텍스트로 매번 하기가 쉽지 않고 일상에 먹는 것이 조금 정해져 있는 편인지라 개인별 맞춤으로 자주 먹는(기록하는) 식단을 뜨게하여 선택으로 입럭이 되게 한다면 편할 것 같습니다.
10,11,20220604,2022,06,04,4,정인영,"다른 것 다 좋은데 삼성헬스하고 연동이 안 되네요ㅠㅠ 어떻게 해결해야 할 지 모르겠어요... 삼성헬스 설정 들어가서 봤는데 데이터 권한에 밀리그램 앱 자체가 안 떠용 밀리그램 처음 연동 설정할 때 모든 권한 다 허용했었는데, 혹시 삼성은 연동이 안 되는 건가요? + 삼성헬스 연동 다시 열릴때까지 존버할게료...🔥"
11,12,20220728,2022,07,28,4,Eun Yu,"잘 쓰고 있습니다. 다만 식사시간을 입력할때 시와 분의 스크롤 이동이 한번 터치시마다 값이 5씩 바뀌는데요, 시의 경우 만족하고 있지만 분의 경우 터치시마다 최소 10씩은 이동할 수 있게 바뀌었으면 합니다. 값을 바꾸다 보면 답답합니다."
12,13,20220531,2022,05,31,5,A B,"정말 잘쓰고있습니다. 식사와 눈바디도 입력가능하고, 입력할수있는 식사 종류가 다양해 식사기록이 편리합니다, 한편 수면시간도 기록하는 기능을 추가해주실수 있습니까? 식단 배너에 수면항목과 시간 기록 할수있으면 편리하다 생각합니다. 수면도 일종의 영양이라 생각하기 때문 😉"
13,14,20220620,2022,06,20,2,Jenny Lovely,"지금까지 사용해본 여러 다이어트 기록앱중에서 광고도 없고 쓸때없는 배너같은것도 없고 정말 깔끔하고 매일 보고싶어지는 앱이예요~! 유료구독이 아깝지않아요ㅋ 그러나 여러차례 메일로 건의한 점에 대해서 반영도 안되고 답도 없어서 별 세개 뺍니당🙄 1. 왜 시간 수동 입력이 안되나요? 스크롤하듯 5분, 10분 올리고 내리기 정말 짜증나요ㅋㅋ 기상시간은 아예 1분단위 설정도 안되구요. 2. 삼성헬스 연동 잘되어있으나 밀리그램이랑 삼성헬스랑 걸음수가 2~3천걸음이나 차이난다고 메일로 오류접수했는데 씹힘당했어요?ㅋ 어느날 워치를 놔두고와서 폰만 가지고 다니니 걸음수가 비슷하게 동기화가 되더라구요. 제 스스로 알아냈네요 이 문제의 이유를...하..🤬 왜 워치로 걸은 기록은 연동이 안되나요. 요즘 스마트워치류 안갖고있는 사람이 몇이나된다고;; 3. 이건 오늘 발견한건데요, 서바이벌 종료된지가 몇일짼데 왜 최종생존화면에서 안넘어갈까요? 그덕분에 다른서바이벌 참여를 놓쳤어요😑"
14,15,20220414,2022,04,14,5,ANNA YUN,"어플내에서 식단을 바로찍을 수 있는 기능은 너무 좋아요. 식단 찍고, 어플에 올리고, 사진첩에서 다시 지우는 과정이 귀찮았는데. 그냥 어플키고 바로 사진찰칵!이면 끝이니깐요. 그런데 사진 구도를 정할 수 있거나, 회전을 한다던가 하면 좋을 것 같은데 그게 안 되서 아쉽긴 하더라구요. 음식이 잘려서 다시 찍은 적도 있는터라. ㅠ"
